location	TU ID	Sense tags	Annotation	Antisense tags
Chr	TU119	slr0742; slr0743; slr0743a; slr0744; slr0236	hypothetical protein ; similar to N utilization substance protein ; YlxR; translation initiation factor IF-2 ; similar to glutathione S-transferase	ssl0431
Chr	TU120	NA	NA	slr0742; slr0743; slr0743a; slr0744; slr0236
Chr	TU121	NA	NA	slr0742; slr0743; slr0743a; slr0744; slr0236
Chr	TU122	slr0237; slr0238	glycogen operon protein GlgX homolog ; hypothetical protein	ncl0040; ssl0431
Chr	TU123	ncl0040	NA	slr0237; slr0238
Chr	TU124	slr0239	precorrin methylase	ssl0426
Chr	TU126	slr0240; slr0241	transcriptional regulator ; hypothetical protein	NA
Chr	TU125	NA	NA	slr0239; slr0240; slr0241
Chr	TU127	ncr0070; slr0242; slr0243	ncRNA; bacterioferritin comigratory protein homolog ; hypothetical protein	sll0230
Chr	TU128	sll0230	hypothetical protein	ncr0070; slr0242; slr0243
Chr	TU130	slr0244	hypothetical protein	sml0003
Chr	TU129	NA	NA	slr0244
Chr	TU131	NA	NA	slr0244
Chr	TU132	NA	NA	slr0244
Chr	TU133	NA	NA	slr0244
Chr	TU135	slr0245	acetylpolyamine aminohydolase	sll0226; sll0227; sll0228; sml0003
Chr	TU134	sml0003	NA	slr0244; slr0245
Chr	TU136	sll0226; sll0227; sll0228	photosystem I assembly related protein ; peptidyl-prolyl cis-trans isomerase B; periplasmic protein ; arginase	slr0245
Chr	TU138	NA	NA	sll0224; sll0225
Chr	TU137	sll0224; sll0225	amino-acid ABC transporter binding protein ; unknown protein	NA
Chr	TU139	rnpB; slr0249	ncRNA; hypothetical protein	NA
Chr	TU140	NA	NA	NA
Chr	TU141	slr0250	hypothetical protein	NA
Chr	TU142	slr0251; slr0252	ATP-binding protein of ABC transporter ; probable precorrin-6x reductase	NA
Chr	TU144	ssr0390	photosystem I reaction center subunit X	ssl0410
Chr	TU143	NA	NA	slr0252; ssr0390
Chr	TU145	ssl0410	unknown protein	ssr0390
Chr	TU147	NA	NA	sll0222; sll0223
Chr	TU146	sll0223	NAD(P)H-quinone oxidoreductase subunit 2	NA
Chr	TU148	sll0222	alkaline phosphatase	NA
Chr	TU149	sml0004; sgl0002	cytochrome b6-f complex subunit VIII ; hypothetical protein	NA
Chr	TU150	NA	NA	NA
Chr	TU151	slr0254	hypothetical protein 	NA
Chr	TU153	NA	NA	sll0220; sll0221
Chr	TU154	NA	NA	sll0220; sll0221
Chr	TU155	NA	NA	sll0220; sll0221
Chr	TU152	sll0220; sll0221	L-glutamine:D-fructose-6-P amidotransferase ; bacterioferritin comigratory protein	slr0254
Chr	TU157	NA	NA	sll0217; sll0218; sll0219
Chr	TU158	As1_flv4	antisense RNA	sll0217; sll0218; sll0219
Chr	TU159	NA	NA	sll0217; sll0218; sll0219
Chr	TU160	NA	NA	sll0217; sll0218; sll0219
Chr	TU156	sll0217; sll0218; sll0219	flavoprotein Flv4; hypothetical protein Flv2; flavoprotein	NA
Chr	TU161	ncr0080	NA	NA
Chr	TU162	ncr0080; slr0257	ncRNA; periplasmic carboxyl-terminal protease	sll0216
Chr	TU163	NA	NA	ncr0080; slr0257
Chr	TU165	slr1411	hypothetical protein	sll1321; sll1322; ssl2615; sll1323; sll1324; sll1325; sll1326; sll1327; sll0216
Chr	TU164	sll0216	hypothetical protein	ncr0080; slr0257; slr1411
Chr	TU167	NA	NA	sll1321; sll1322; ssl2615; sll1323; sll1324; sll1325; sll1326; sll1327
Chr	TU168	NA	NA	sll1321; sll1322; ssl2615; sll1323; sll1324; sll1325; sll1326; sll1327
Chr	TU166	sll1321; sll1322; ssl2615; sll1323; sll1324; sll1325; sll1326; sll1327	hypothetical protein ; ATP synthase A chain of CF(0) ; ATP synthase C chain of CF(0) ; ATP synthase subunit b' of CF(0) ; ATP synthase B chain (subunit I) of CF(0) ; ATP synthase delta chain of CF(1) ; ATP synthase alpha chain ; ATP synthase gamma chain	slr1411
Chr	TU169	slr1413	hypothetical protein	NA
Chr	TU170	slr1414; slr1415	two-component sensor histidine kinase ; hypothetical protein	NA
Chr	TU172	slr1416	MorR protein	NA
Chr	TU171	NA	NA	slr1414; slr1415; slr1416
Chr	TU173	NA	NA	slr1416
Chr	TU174	NA	NA	slr1416
Chr	TU176	slr1417	hypothetical protein YCF57	NA
Chr	TU175	NA	NA	slr1416; slr1417
Chr	TU177	DsiR2	NA	NA
Chr	TU179	NA	NA	sll1040; sll1041; sll1318
Chr	TU180	NA	NA	sll1040; sll1041; sll1318
Chr	TU178	sll1040; sll1041; sll1318	unknown protein ; similar to sulfate transport ATP-binding protein C ysA ; hypothetical protein	NA
Chr	TU181	slr1093; ncr0090	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase ; ncRNA	NA
Chr	TU183	slr1094	hypothetical protein	NA
Chr	TU182	NA	NA	slr1093; ncr0090; slr1094
Chr	TU184	NA	NA	slr1094
Chr	TU185	slr1095	hypothetical protein	NA
Chr	TU186	slr1096; slr1097; slr1098; slr1099	dihydrolipoamide dehydrogenase ; hypothetical protein ; hypothetical protein ; 3-octaprenyl-4-hydroxybenzoate carboxy-lyase	NA
Chr	TU187	NA	NA	slr1099
Chr	TU188	slr1100; slr1101; slr1102	hypothetical protein ; hypothetical protein ; hypothetical protein	NA
Chr	TU189	NA	NA	slr1100; slr1101; slr1102
Chr	TU190	NA	NA	slr1100; slr1101; slr1102
Chr	TU191	slr1103; slr1104	hypothetical protein ; hypothetical protein	ncl0050
Chr	TU192	NA	NA	slr1103; slr1104
Chr	TU193	NA	NA	slr1103; slr1104
Chr	TU195	slr1105	elongation factor EF-G	ncl0050
Chr	TU194	ncl0050	NA	slr1103; slr1104; slr1105
Chr	TU197	NA	NA	NA
Chr	TU196	NA	NA	slr1105
Chr	TU198	sll1035; ssl2009; sll1036; sll1037	uracil phosphoribosyltransferase ; hypothetical protein ; hypothetical protein ; unknown protein	NA
Chr	TU199	slr1106	prohibitin	NA
Chr	TU200	slr1107	unknown protein 	NA
Chr	TU202	NA	NA	ncl0060; sll1033
Chr	TU203	NA	NA	ncl0060; sll1033
Chr	TU204	NA	NA	ncl0060; sll1033
Chr	TU201	ncl0060; sll1033	ncRNA; probable protein phosphatase	slr1107
Chr	TU206	ncr0100	NA	ncl0070; sll1028; sll1029; sll1030; sll1031; sll1032
Chr	TU207	NA	NA	ncl0070; sll1028; sll1029; sll1030; sll1031; sll1032
Chr	TU208	NA	NA	ncl0070; sll1028; sll1029; sll1030; sll1031; sll1032
Chr	TU205	ncl0070; sll1028; sll1029; sll1030; sll1031; sll1032	ncRNA; carbon dioxide concentrating mechanism protein Ccm K ; carbon dioxide concentrating mechanism protein Ccm K ; carbon dioxide concentrating mechanism protein Ccm L; putative carboxysome assembly protein ; carbon dioxide concentrating mechanism protein Ccm M; putative carboxysome structural protein ; carbon dioxide concentrating mechanism protein Ccm N; putative carboxysome assembly protein	ncr0100
Chr	TU210	NA	NA	sll1027
Chr	TU209	sll1027	NADH-glutamate synthase small subunit	NA
Chr	TU211	NA	NA	NA
Chr	TU212	slr1109; slr1110; slr1772	similar to ankyrin ; hypothetical protein ; probable hydrolase; periplasmic protein	sll1686
Chr	TU214	ssr2972	unknown protein	sll1686
Chr	TU213	sll1686	hypothetical protein	ssr2972
Chr	TU215	NA	NA	ssr2972
Chr	TU216	slr1776	high affinity sulfate transporter	NA
Chr	TU217	NA	NA	NA
Chr	TU218	NA	NA	NA
Chr	TU219	NA	NA	slr1776
Chr	TU220	NA	NA	NA
Chr	TU221	slr1777; ssr2975; slr1778	magnesium protoporphyrin IX chelatase subunit D ; unknown protein ; unknown protein	sll1683
Chr	TU222	NA	NA	sll1682
Chr	TU224	slr1779; slr1780	pyridoxal phosphate biosynthetic protein PdxJ ; hypothetical protein YCF54	sll1679; sll1680; sll1681; sll1682
Chr	TU223	sll1682	alanine dehydrogenase	slr1779; slr1780
Chr	TU226	NA	NA	sll1679; sll1680; sll1681
Chr	TU225	sll1679; sll1680; sll1681	periplasmic protease HhoA ; hypothetical protein ; unknown protein	slr1779; slr1780
Chr	TU227	NA	NA	slr1783
Chr	TU228	NA	NA	slr1783
Chr	TU229	slr1784	biliverdin reductase	NA
Chr	TU230	sll1677; sll1678	similar to spore maturation protein B ; similar to spore maturation protein A	NA
Chr	TU232	NA	NA	sll1676
Chr	TU231	sll1676	4-alpha-glucanotransferase	NA
Chr	TU233	sll1675	hypothetical protein	NA
Chr	TU234	NA	NA	slr1787
Chr	TU235	slr1788; slr1789	unknown protein ; unknown protein	sll1672; sll1673
Chr	TU237	NA	NA	sll1672; sll1673
Chr	TU236	sll1672; sll1673	two-component hybrid sensor and regulator ; two-component response regulator	slr1788; slr1789
Chr	TU238	slr1790; slr1791	hypothetical protein ; phosphoadenosine phosphosulfate reductase	6803t02; ncl0080; sll1670
Chr	TU239	NA	NA	slr1790; slr1791
Chr	TU240	NA	NA	slr1790; slr1791
Chr	TU242	NA	NA	sll1669; 6803t02; ncl0080; sll1670
Chr	TU241	6803t02; ncl0080; sll1670	tRNA-OTHER; ncRNA; heat-inducible transcription repressor HrcA homolo g	slr1790; slr1791
Chr	TU243	sll1669	shikimate kinase	NA
Chr	TU244	slr1793	transaldolase.EF-hand domain-containing protein	NA
Chr	TU246	ssr2998; slr1794; slr1795; ssr3000	hypothetical protein ; probable anion transporting ATPase ; peptide methionine sulfoxide reductase ; hypothetical protein	sll1667
Chr	TU245	NA	NA	slr1793
Chr	TU247	sll1667	mitochondrial outer membrane 72K protein	ssr2998; slr1794; slr1795; ssr3000
Chr	TU249	slr1796	hypothetical protein	sll1665
Chr	TU248	sll1666	DnaJ protein	NA
Chr	TU250	NA	NA	slr1796
Chr	TU252	NA	NA	sll1665
Chr	TU251	sll1665	unknown protein	slr1796
Chr	TU254	NA	NA	sll1663; sll1664
Chr	TU253	sll1663; sll1664	phycocyanin alpha phycocyanobilin lyase related pr otein ; probable glycosyl transferase	NA
Chr	TU255	sll1662	prephenate dehydratase	NA
Chr	TU256	6803t03	NA	NA
Chr	TU257	slr1798	PleD protein	sll1660; ssl3222
Chr	TU258	NA	NA	slr1798
Chr	TU260	NA	NA	sll1660; ssl3222
Chr	TU259	sll1660; ssl3222	hypothetical protein ; unknown protein	slr1798
Chr	TU261	sll1659	FO synthase subunit 2	NA
Chr	TU263	NA	NA	NA
Chr	TU262	NA	NA	NA
Chr	TU264	slr1799	hypothetical protein	NA
Chr	TU265	NA	NA	slr1799
Chr	TU266	slr1800	hypothetical protein	NA
Chr	TU267	NA	NA	sll1656
Chr	TU269	NA	NA	sll1656
Chr	TU268	sll1656	hypothetical protein	NA
Chr	TU271	NA	NA	sll1654; sll1655
Chr	TU270	sll1654; sll1655	hypothetical protein ; similar to biotin [acetyl-CoA-carboxylase] ligase	NA
Chr	TU272	sll1653	ubiquinone.menaquinone biosynthesis methyltransferase	NA
Chr	TU273	Sll1651; sll1652	hypothetical protein; hypothetical protein	NA
Chr	TU274	NA	NA	NA
Chr	TU275	slr1289; slr1290	isocitrate dehydrogenase (NADP+) ; hypothetical protein	NA
Chr	TU276	NA	NA	slr1289; slr1290
Chr	TU278	NA	NA	NA
Chr	TU277	NA	NA	slr1289; slr1290
Chr	TU279	sll1201	hypothetical protein	NA
Chr	TU280	NA	NA	NA
Chr	TU282	slr1291	NAD(P)H-quinone oxidoreductase subunit 4	sll1200
Chr	TU281	NA	NA	NA
Chr	TU283	NA	NA	sll1200
Chr	TU284	sll1200	hypothetical protein	NA
Chr	TU285	slr1293	similar to phytoene dehydrogenase	NA
Chr	TU286	ssr2142	hypothetical protein YCF19	NA
Chr	TU287	NA	NA	NA
Chr	TU288	slr1295	iron transport protein	ssl2384; sll1198
Chr	TU289	ssl2384; sll1198	unknown protein ; tRNA (guanine-N1)-methyltransferase	slr1295
Chr	TU290	sll1196	6-phosphofructokinase	NA
Chr	TU291	sll1194; ssl2380	photosystem II 12 kDa extrinsic protein ; unknown protein	NA
Chr	TU293	ncr0140	NA	Norf1; sll1193
Chr	TU294	NA	NA	Norf1; sll1193
Chr	TU292	Norf1; sll1193	NA; hypothetical protein	ncr0140
Chr	TU295	slr1299	UDP-glucose dehydrogenase	NA
Chr	TU296	slr1300	2-octaprenyl-6-methoxyphenyl hydroxylase	NA
Chr	TU298	NA	NA	sll1191; sll1192
Chr	TU297	sll1191; sll1192	hypothetical protein ; hypothetical protein	NA
Chr	TU299	NA	NA	NA
Chr	TU300	ssr2153	unknown protein	NA
Chr	TU301	NA	NA	NA
Chr	TU302	slr1301	hypothetical protein	NA
Chr	TU303	slr1302; slr1303	protein involved in constitutive low affinity CO2 uptake ; hypothetical protein	NA
Chr	TU304	NA	NA	slr1303
Chr	TU305	sll1189	glycolate oxidase subunit GlcE	slr1303
Chr	TU306	slr1305	regulatory components of sensory transduction system	NA
Chr	TU307	NA	NA	slr1305
Chr	TU308	NA	NA	slr1305
Chr	TU309	slr1306	hypothetical protein	sll1187; sll1188
Chr	TU310	sll1187; sll1188	prolipoprotein diacylglyceryl transferase ; hypothetical protein	slr1306
Chr	TU311	sll1186	hypothetical protein	NA
Chr	TU312	sll1184; sll1185	heme oxygenase ; coproporphyrinogen III oxidase; aerobic (oxygen-de pendent)	NA
Chr	TU314	ssr1604	50S ribosomal protein L28	NA
Chr	TU313	NA	NA	slr1307; ssr1604
Chr	TU315	slr0962	unknown protein	sll0943
Chr	TU317	6803t04	NA	sll0943
Chr	TU318	NA	NA	sll0943
Chr	TU316	sll0943	unknown protein	slr0962; 6803t04
Chr	TU320	slr0963; slr0964	ferredoxin-sulfite reductase ; hypothetical protein	NA
Chr	TU319	NA	NA	slr0963; slr0964
Chr	TU321	NA	NA	slr0963; slr0964
Chr	TU322	NA	NA	slr0963; slr0964
Chr	TU323	slr0965	DNA polymerase III subunit beta	NA
Chr	TU324	slr0966	tryptophan synthase subunit alpha	NA
Chr	TU325	slr0967	hypothetical protein	sll0938; sll0939
Chr	TU326	sll0938	succinyldiaminopimelate transaminase	NA
Chr	TU327	sll0936; ssl1792	putative oxidoreductase ; hypothetical protein	NA
Chr	TU328	slr0969	precorrin methylase 	NA
Chr	TU329	slr0969	precorrin methylase 	NA
Chr	TU330	slr0971	hypothetical protein	ncl0110; sll0934; ncl0100
Chr	TU331	ncl0110; sll0934; ncl0100	ncRNA; carboxysome formation protein CcmA ; ncRNA	slr0971
Chr	TU332	ssl1784; sll0933; ncl0110	30S ribosomal protein S15 ; hypothetical protein ; ncRNA	NA
Chr	TU334	NA	NA	sll0928; sll0930; sll0931; sll0932
Chr	TU333	sll0928; sll0930; sll0931; sll0932	allophycocyanin-B ; unknown protein ; hypothetical protein ; hypothetical protein	NA
Chr	TU336	NA	NA	sll0927
Chr	TU335	sll0927	S-adenosylmethionine synthetase	NA
Chr	TU337	sll0926	tRNA-dihydrouridine synthase A	NA
Chr	TU338	sll0925	hypothetical protein	NA
Chr	TU339	ncr0150	NA	NA
Chr	TU341	ncr0150; slr0974	ncRNA; initiation factor IF-3	NA
Chr	TU340	NA	NA	ncr0150
Chr	TU342	slr0975; 6803t05	hypothetical protein ; tRNA-OTHER	sll0923; sll0924
Chr	TU343	sll0924	hypothetical protein	slr0975; 6803t05
Chr	TU345	NA	NA	sll0923
Chr	TU346	NA	NA	sll0923
Chr	TU347	NA	NA	sll0923
Chr	TU344	sll0923	exopolysaccharide export protein	slr0975; 6803t05
Chr	TU349	slr0976; slr0977	hypothetical protein ; ABC transporter; permease component	sll0922
Chr	TU348	NA	NA	slr0976; slr0977
Chr	TU350	slr0978	hypothetical protein	NA
Chr	TU352	slr0980; slr0981	hypothetical protein ; hypothetical protein	NA
Chr	TU351	NA	NA	slr0978; slr0980; slr0981
Chr	TU353	slr0982; slr0983; slr0984; slr0985; slr1610; slr1611	probable polysaccharide ABC transporter ATP bindin g subunit ; glucose-1-phosphate cytidylyltransferase ; CDP-glucose 4;6-dehydratase ; dTDP-4-dehydrorhamnose 3;5-epimerase ; putative C-3 methyl transferase ; hypothetical protein	NA
Chr	TU354	NA	NA	slr0982; slr0983; slr0984; slr0985; slr1610; slr1611
Chr	TU355	slr1612; slr1613; slr1614; slr1615; slr1616; slr1617; slr1618; slr1619; Norf2; slr1062; slr1063; slr1064; slr1065; slr1066; slr1067; slr1068; slr1069; slr1070; slr1071; slr1072; slr1073; slr1074	hypothetical protein ; hypothetical protein ; hypothetical protein ; perosamine synthetase ; unknown protein ; similar to UDP-glucose 4-epimerase ; unknown protein ; hypothetical protein ; pseudogene; unknown protein ; plobable glycosyltransferase ; plobable glycosyltransferase ; plobable glycosyltransferase ; unknown protein ; UDP-glucose 4-epimerase ; hypothetical protein ; hypothetical protein ; unknown protein ; unknown protein ; GDP-D-mannose dehydratase ; unknown protein ; unknown protein	NA
Chr	TU356	NA	NA	slr1612; slr1613; slr1614; slr1615; slr1616; slr1617; slr1618; slr1619; Norf2; slr1062; slr1063; slr1064; slr1065; slr1066; slr1067; slr1068; slr1069; slr1070; slr1071; slr1072; slr1073; slr1074
Chr	TU357	NA	NA	slr1612; slr1613; slr1614; slr1615; slr1616; slr1617; slr1618; slr1619; Norf2; slr1062; slr1063; slr1064; slr1065; slr1066; slr1067; slr1068; slr1069; slr1070; slr1071; slr1072; slr1073; slr1074
Chr	TU358	NA	NA	slr1612; slr1613; slr1614; slr1615; slr1616; slr1617; slr1618; slr1619; Norf2; slr1062; slr1063; slr1064; slr1065; slr1066; slr1067; slr1068; slr1069; slr1070; slr1071; slr1072; slr1073; slr1074
Chr	TU359	NA	NA	slr1612; slr1613; slr1614; slr1615; slr1616; slr1617; slr1618; slr1619; Norf2; slr1062; slr1063; slr1064; slr1065; slr1066; slr1067; slr1068; slr1069; slr1070; slr1071; slr1072; slr1073; slr1074
Chr	TU360	NA	NA	slr1612; slr1613; slr1614; slr1615; slr1616; slr1617; slr1618; slr1619; Norf2; slr1062; slr1063; slr1064; slr1065; slr1066; slr1067; slr1068; slr1069; slr1070; slr1071; slr1072; slr1073; slr1074
Chr	TU361	NA	NA	slr1612; slr1613; slr1614; slr1615; slr1616; slr1617; slr1618; slr1619; Norf2; slr1062; slr1063; slr1064; slr1065; slr1066; slr1067; slr1068; slr1069; slr1070; slr1071; slr1072; slr1073; slr1074
Chr	TU362	slr1075; slr1076	putative transposase [ISY100_b] ; plobable glycosyltransferase	NA
Chr	TU364	slr1077	probable glycosyltransferase	NA
Chr	TU363	NA	NA	slr1076; slr1077
Chr	TU365	ssr1765; ssr1766; slr1078	hypothetical protein ; hypothetical protein ; similar to UDP-glucose 4-epimerase	NA
Chr	TU366	slr1079	unknown protein	NA
Chr	TU367	ssr1768	unknown protein	NA
Chr	TU369	slr1081; slr1082; slr1083; slr1084; slr1085; slr1087	hypothetical protein ; unknown protein ; hypothetical protein ; unknown protein ; plobable glycosyltransferase ; hypothetical protein	NA
Chr	TU368	NA	NA	ssr1768; slr1081; slr1082; slr1083; slr1084; slr1085; slr1087
Chr	TU370	NA	NA	slr1081; slr1082; slr1083; slr1084; slr1085; slr1087
Chr	TU372	NA	NA	sll1022; sll1023; sll1024; ssl1972; sll1025
Chr	TU371	ssl1972; sll1025	hypothetical protein ; hypothetical protein	slr1087
Chr	TU373	NA	NA	NA
Chr	TU375	NA	NA	sll1022; sll1023; sll1024
Chr	TU376	NA	NA	sll1021; sll1022; sll1023; sll1024
Chr	TU374	sll1022; sll1023; sll1024	hypothetical protein ; succinyl-CoA synthetase beta chain ; hypothetical protein	NA
Chr	TU377	sll1021	hypothetical protein	NA
Chr	TU378	sll1020	probable glycosyltransferase	NA
Chr	TU379	slr1090	GTPase ObgE	NA
Chr	TU380	ssr1789	high light inducible protein	NA
Chr	TU381	NA	NA	sll1019
Chr	TU382	NA	NA	sll1019
Chr	TU383	sll1018	dihydroorotase 	NA
Chr	TU385	NA	NA	sll1017; sll1018
Chr	TU384	sll1017; sll1018	ammonium/methylammonium permease ; dihydroorotase	NA
