locus_tag	localization	sense_tags	annotation	antisense_tags	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TU7067	pSYSA	NA	NA	NA	144.99425370403125	1.241435416124429	0.21186090927882892	5.859671896765925	4.637825870283419e-9	3.9973642024823755e-7
TU491	Chr	ncl0170; sll1009	ncRNA; unknown protein	NA	4199.886499736245	1.396405316346709	0.24451576511606787	5.710900954316204	1.123796387030173e-8	9.460797490812155e-7
TU7081	pSYSA	NA	NA	sll7090; sll7089	27.309350066227573	1.9468976168546748	0.3467369648303182	5.614912208184736	1.9666206896756903e-8	1.6179924765059087e-6
TU7055	pSYSA	slr7061	unknown protein	NA	428.3768746737089	0.723265700245014	0.13088136490416752	5.526116730021845	3.2739634481170714e-8	2.633721707151955e-6
TU7059	pSYSA	NA	NA	sll7067; sll7066; sll7065; sll7064; sll7063; sll7062	57.6612807258885	1.2864563277478465	0.2365319931343938	5.4388258886268375	5.3632835299464023e-8	4.220670951827386e-6
TU7062	pSYSA	NA	NA	sll7067; sll7066; sll7065; sll7064; sll7063; sll7062	33.82943029853841	1.4593485292428932	0.2699157798193345	5.4066810403589365	6.420332859702332e-8	4.945022330238817e-6
TU1803	Chr	slr1350	fatty acid desaturase	SyR7; sll1247	973.5500532948547	0.47988867762128096	0.08947414448355098	5.363434100333914	8.165445038966687e-8	6.158106466887377e-6
TU720	Chr	NA	NA	ncr0300	214.4975390430403	1.0976743965387932	0.2054834788423266	5.341910710890146	9.197195728463637e-8	6.7946629667425235e-6
TU7085	pSYSA	NA	NA	slr7092; ssr7093	77.27268690254712	1.0388559187803434	0.1958484420213499	5.304386943589244	1.1305228204076252e-7	8.184985219751207e-6
TU7035	pSYSA	sll7044; sll7043; ssl7042	sll7044; sll7043; ssl7042	NA	438.176602879686	0.6879710783187929	0.13014417889314445	5.2862224355317124	1.2486804664934643e-7	8.863182919032041e-6
TU2578	Chr	slr0006; slr0007	unknown protein ; probable sugar-phosphate nucleotidyltransferase	NA	2251.2328514107617	0.555337202218864	0.10619173693244716	5.229570758147937	1.6990406392984887e-7	1.1827936758193324e-5
TU6047	pSYSX	ssr6048; slr6049; slr6050; slr6051	ssr6048; slr6049; slr6050; slr6051	sll6052	457.90986168468123	0.8262946087762247	0.158477708138044	5.213948500923994	1.8486280957215255e-7	1.2392655012059116e-5
TU6050	pSYSX	slr6056; slr6057	slr6056; slr6057	NA	160.360160040881	0.7788501021866058	0.1493629359574307	5.214480401005123	1.8433318998010708e-7	1.2392655012059116e-5
TU3253	Chr	sll0775; sll0776; sll0777	unknown protein ; serine/threonine kinase ; putative carboxypeptidase	NA	466.69824796419573	0.7488599191210573	0.14383284977197408	5.206459583525357	1.9247759242594512e-7	1.266852517421675e-5
TU7050	pSYSA	NA	NA	slr7054	824.1530789663619	0.7274195728616624	0.1399355216924403	5.198248193624733	2.0117540566967212e-7	1.3004553009360948e-5
TU7010	pSYSA	NA	NA	ssl7022; ssl7021	132.4845252682785	1.2558118612489242	0.2426222116583316	5.175997088912037	2.2669699108803322e-7	1.4397247504187373e-5
TU1827	Chr	slr1963; slr1964	water-soluble carotenoid protein ; hypothetical protein	ncl0850; sll1895	2566.0996587273776	0.9647456269599874	0.1885858582609288	5.115683836829155	3.126063083448266e-7	1.9510945451866764e-5
TU325	Chr	slr0967	hypothetical protein	sll0938; sll0939	437.7731519782622	1.0213892553110708	0.20125205846767688	5.075174202380227	3.87141156074754e-7	2.375340652526457e-5
TU949	Chr	sll1735	secreted protein MPB70	NA	1583.9674033827632	0.7696756914243718	0.15194446487003568	5.065506611792057	4.073156396546577e-7	2.457471025916435e-5
TU7039	pSYSA	NA	NA	NA	194.2836918811046	0.8817128351684548	0.17512227710443218	5.034841082169434	4.782454197841799e-7	2.8381121633093952e-5
TU1244	Chr	NA	NA	slr1869; ssr3159	855.8295950951776	0.7549214014344573	0.15036585560052432	5.020563999848812	5.151998148048109e-7	3.008102144505509e-5
TU2927	Chr	slr0904; slr0905	competence protein ComM homolog ; Mg-protoporphyrin IX monomethyl ester oxidative cy clase	NA	978.2297389579435	0.5463301735159055	0.10925848300384167	5.000345588696265	5.722764441561163e-7	3.288318615627208e-5
TU1521	Chr	ncl0690; sll1594	ncRNA; ndhF3 operon transcriptional regulator; LysR famil y protein	slr1726; ncr0590	723.2732972863068	0.7631688692545376	0.1533165434937401	4.977733334339733	6.433320488283894e-7	3.638846901185577e-5
TU7026	pSYSA	sll7034; sll7033	sll7034; sll7033	NA	240.38320421791386	0.9224229297570359	0.18617845588551052	4.954509507395824	7.251297127109556e-7	4.038414707713322e-5
TU3149	Chr	ncr1530; slr0105; slr0106	ncRNA; hypothetical protein ; unknown protein	sll0100; sll0101	1590.9922787642702	0.5835435750512794	0.11921037022451526	4.895073926473516	9.826878047580188e-7	5.3898937170061035e-5
TU1669	Chr	sll1997; sll1998; sll1999	putative transposase [ISY203_h2] ; putative transposase [ISY100_d] ; putative transposase [ISY203_h1]	slr2108; slr2110; slr2111	45.49401653691246	-1.221021484217595	0.25360996018231746	-4.814564393842481	1.4752132956465234e-6	7.970555418269276e-5
TU1805	Chr	slr1351	UDP-N-acetylmuramoylalanyl-D-glutamyl-2;6-diamino-pimelate-D-alanyl-D-alanine ligase	sll1245; SyR7; sll1247	1136.6291923637693	0.8873152718968376	0.18828607269575162	4.712591107737617	2.4458666745263803e-6	1.2659274111163072e-4
TU1954	Chr	ncr0840; slr1279; slr1280; slr1281	ncRNA; NADH dehydrogenase subunit 3 ; NADH dehydrogenase subunit NdhK ; NADH dehydrogenase subunit I	NA	3054.242235786515	0.34852716848403725	0.07395928060019402	4.712419667358459	2.4479259330978317e-6	1.2659274111163072e-4
TU7015	pSYSA	sll7027	unknown protein	NA	263.3041183078799	0.6386450447161323	0.1354107625905336	4.716353652385228	2.401089329901063e-6	1.2659274111163072e-4
TU7025	pSYSA	NA	NA	slr7032	128.11271956641568	0.7649041590095333	0.16251636542159517	4.7066285110748165	2.5184724427124643e-6	1.2840662313548057e-4
TU3712	Chr	NA	NA	slr0604	2543.680133341313	-0.7387969213135618	0.15723936887512738	-4.698549266629796	2.6201598893765303e-6	1.3173581666032e-4
TU7048	pSYSA	NA	NA	ssl7053	456.1591185356491	0.6745309170945335	0.1449301470094668	4.654179485862754	3.2527337430361953e-6	1.6129994725741132e-4
TU2090	Chr	sll0909; sll0910; sll0911	unknown protein ; unknown protein ; unknown protein	slr0950	858.1003800871518	0.6183857899442001	0.13419504292826287	4.608112017034585	4.063417460060918e-6	1.910333922781886e-4
TU7004	pSYSA	slr7010; slr7011; slr7012	slr7011; slr7012	NA	556.7972920316847	0.7746615034769146	0.16804243781758973	4.609915885163548	4.028319238237286e-6	1.910333922781886e-4
TU7005	pSYSA	NA	NA	slr7015; slr7016	576.8944379874849	0.6924746647590878	0.15001111962633237	4.616155565560711	3.909139618455094e-6	1.910333922781886e-4
TU7077	pSYSA	NA	NA	slr7082	52.36668374607033	1.0467998257147857	0.22697137219329372	4.612034617402358	3.987465655576952e-6	1.910333922781886e-4
TU1078	Chr	ssl2245; sll1130	unknown protein ; unknown protein	slr1237	2072.7114749195866	-0.38678844327881884	0.08474068807704957	-4.564376948734893	5.009799385245386e-6	2.3250607403318328e-4
TU7042	pSYSA	ssl7046; ssl7045	ssl7046; ssl7045	NA	121.3734893081886	0.8886823739635938	0.19498684818950435	4.557652899235023	5.172843127095411e-6	2.3703407746943528e-4
TU2215	Chr	slr0294; slr0392; slr0393	unknown protein ; unknown protein ; unknown protein	sll0364	518.3577739996358	0.4984897947234662	0.10954786969070074	4.5504289232726345	5.353666968255893e-6	2.4225343031357915e-4
TU6093	pSYSX	ssr6099; slr6100; slr6101; slr6102	ssr6099; slr6100; slr6101; slr6102	sll6098	4269.676544846312	-0.5182427589696786	0.11608422629940977	-4.464368463231198	8.030526471785629e-6	3.5889513367733306e-4
TU289	Chr	ssl2384; sll1198	unknown protein ; tRNA (guanine-N1)-methyltransferase	slr1295	2020.7176395393692	-0.8560086085108775	0.19276168667827653	-4.440761145338879	8.964124878890861e-6	3.9452450411800514e-4
TU7008	pSYSA	ssl7021	unknown protein	NA	69.37509852310104	1.2806014760267623	0.2885010252691407	4.43881083206584	9.045727580606195e-6	3.9452450411800514e-4
TU2359	Chr	sll0945; 6803t27	glycogen synthase ; tRNA-OTHER	NA	677.7832052341469	0.4888948165498803	0.11072717641455564	4.415310065520759	1.008653086518464e-5	4.346814491900999e-4
TU7038	pSYSA	NA	NA	NA	628.6075910570115	0.7685832451874789	0.17447947488682844	4.405006638666241	1.0578063832005251e-5	4.452626868820815e-4
TU7043	pSYSA	sll7047	hypothetical protein	NA	545.2462946773621	0.5350939142471606	0.12147070987179141	4.405127086290478	1.0572187857551067e-5	4.452626868820815e-4
TU7070	pSYSA	NA	NA	slr7073	147.26192456222668	0.783872421675237	0.17820461865653844	4.398721130713389	1.088906394775862e-5	4.5308518955041615e-4
TU1084	Chr	ssr2062	hypothetical protein	NA	263.49760362050995	1.2120728697281886	0.27571711275539323	4.396074141409924	1.10226297765749e-5	4.534309067181947e-4
TU5102	pSYSM	ssl5098; sll5097; ssl5096	ssl5098; sll5097; ssl5096	NA	643.6424101763901	0.6284023392165339	0.14362445999672266	4.37531559200204	1.2125691548672802e-5	4.932022854628712e-4
TU7045	pSYSA	NA	NA	slr7049	116.23551922453834	1.01230636824329	0.23181784959532467	4.366818042745343	1.2606966590198824e-5	5.070802117391083e-4
TU924	Chr	slr2075; slr2076	10kD chaperonin ; 60kD chaperonin	NA	26334.147143783593	0.6854706057537389	0.1570692896737057	4.364128768760139	1.2763038503196385e-5	5.077164767205595e-4
TU2582	Chr	slr0009	ribulose bisophosphate carboxylase	NA	7854.827126890519	0.46543928334951506	0.10691918313140857	4.3531877977169815	1.3417211939981475e-5	5.279381219862276e-4
TU1723	Chr	ssr1375	hypothetical protein	NA	1457.6252869753084	0.5731084518463735	0.13213538824968382	4.3372820819463165	1.4425544053222595e-5	5.615104244372666e-4
TU6092	pSYSX	sll6098	hypothetical protein	slr6097; ssr6099; slr6100; slr6101; slr6102	533.7125635351315	0.5619392129858896	0.13005364738615674	4.320826245782815	1.554460434203409e-5	5.986326352996108e-4
TU627	Chr	ssl1911	glutamine synthetase inactivating factor IF7	NA	2997.343127475164	0.5410730962401019	0.12548233200873277	4.311946451572535	1.61823630157739e-5	6.166332012326476e-4
TU1901	Chr	sll1384	similar to DnaJ protein	smr0011; slr1469; slr1470; slr1471; slr1472	886.191000615523	0.48317487757936467	0.11228934397160778	4.302945056848269	1.6854265716695048e-5	6.355462697337091e-4
TU2825	Chr	ncr1380	NA	sll0601; ncl1330	286.1848401772801	-0.8392639630001718	0.19535209659789993	-4.29616051025886	1.737817740606938e-5	6.44569671921553e-4
TU3578	Chr	slr1583	hypothetical protein	sll1471; sll1472; sll1473; sll1474; sll1475	2198.945453446121	-0.4489409956928987	0.10452034682491203	-4.295249770314533	1.7449676201191214e-5	6.44569671921553e-4
TU7037	pSYSA	NA	NA	sll7044; sll7043; ssl7042	79.67266639932198	1.0401916434454046	0.24331003562466372	4.275169500406596	1.9099193240102276e-5	6.983745406986894e-4
TU1740	Chr	sll0814; ncl0820	hypothetical protein ; ncRNA	NA	1243.8463610363574	-0.44412239756355215	0.10482440572790674	-4.236822469724875	2.2670524283438818e-5	8.206729790604853e-4
TU6027	pSYSX	ssr6030	unknown protein	NA	435.243921202161	0.9231818435767667	0.21832515254375817	4.228472225121823	2.3528355528997768e-5	8.432935348017022e-4
TU1374	Chr	slr1747	cell death suppressor protein Lls1 homolog	NA	171.34896435909388	-0.6818931318689849	0.1613582860918899	-4.225956710278034	2.379277323354636e-5	8.444101873082139e-4
TU210	Chr	NA	NA	sll1027	129.72023125929212	-0.8344285960805635	0.1976148894445876	-4.222498610432602	2.4160888898429207e-5	8.491496874981915e-4
TU7009	pSYSA	NA	NA	ssl7021	46.42247224869809	1.2588077443868553	0.29862051960401165	4.215409396702237	2.4932547616961584e-5	8.678444458980859e-4
TU1897	Chr	NA	NA	slr1467	53.74982198856926	-1.0075883166854487	0.24120131110968188	-4.177374957249989	2.9489268287131543e-5	0.0010166776304706302
TU7018	pSYSA	sll7029	hypothetical protein	NA	121.25430289469638	0.7217865684297563	0.1737005335238365	4.155350324993143	3.247895074308485e-5	0.0011091868083959167
TU6044	pSYSX	ssr6046; slr6047	ssr6046; slr6047	NA	563.322706001283	0.5157683770378005	0.12570981754140562	4.102848823783549	4.080939167374321e-5	0.0013806541855976675
TU3658	Chr	slr1667	hypothetical protein (target gene of sycrp1)	NA	631.6804868641307	-0.7529100690107144	0.1840586528185539	-4.090598608004251	4.3026122616141996e-5	0.0014289409529397617
TU7044	pSYSA	slr7049	resolvase	NA	34.405830476228786	1.1415756778705612	0.278983127748773	4.091916550948419	4.278226166292516e-5	0.0014289409529397617
TU7052	pSYSA	sll7056	unknown protein	slr7057; slr7058	291.4804295173857	0.5777149498385971	0.14316020465753432	4.035443726981238	5.4499201043732587e-05	0.0017935191616210177
TU3557	Chr	sll1491	beta transducin-like-protein	slr1565; slr1566	469.01411063787265	0.7294922199324645	0.18090668352262498	4.032422715002848	5.520477265101848e-5	0.0018003718648350172
TU2463	Chr	slr0376; ncr1200	hypothetical protein ; ncRNA	NA	15530.02949498233	0.8815045806239103	0.2194684153839158	4.016544153207174	5.9057803193596404e-5	0.0019079391494821092
TU7032	pSYSA	slr7037	hypothetical protein 	NA	48.700192848166694	1.0213476264181123	0.2544109575352425	4.014558320573237	5.955721654460728e-5	0.0019079391494821092
TU948	Chr	sll1736	hypothetical protein	slr1829; slr1830	672.7662810361235	0.46281690224308414	0.11586812185097851	3.9943419712828945	6.487417337139763e-5	0.002060039540389995
TU1647	Chr	HliR1	NA	NA	1357.2261227295635	0.8383553958042573	0.21016836482003	3.9889704453006156	6.636068810195741e-5	0.002088919051557268
TU2263	Chr	NA	NA	slr0143; slr0144; slr0145; slr0146; slr0147; slr0148; slr0149; slr0150; slr0151	264.69820564326415	-0.5476095851104439	0.1373575259821166	-3.9867461298170186	6.698563372148677e-5	0.0020904137419981215
TU1641	Chr	NA	NA	NA	491.5012285609954	0.876261732715699	0.2203925786050639	3.97591306504894	7.010973568830435e-5	0.0021692072067663395
TU3302	Chr	ncr1550	NA	sll0048; ncl1580	275.8171571337917	-1.1267981239583817	0.28518455061466996	-3.9511190964929463	7.778660034523846e-5	0.0023863346885573157
TU2567	Chr	sll0022; sll0023; sll0024	unknown protein ; hypothetical protein ; unknown protein	NA	398.1625176221528	0.5451626802549367	0.13950510362114632	3.907833234083204	9.312754780687272e-5	0.002832955655973775
TU1089	Chr	slr1239; slr1240; slr1241; ssr2066; ssr2067; slr1434; slr1435	pyridine nucleotide transhydrogenase alpha subunit ; unknown protein ; hypothetical protein ; hypothetical protein ; hypothetical protein ; pyridine nucleotide transhydrogenase beta subunit ; PmbA protein homolog	NA	2134.9691365436897	0.39428046807124656	0.10207068743098006	3.862817798085841	1.1208660811710517e-4	0.0033235261842272075
TU3180	Chr	slr0301	phosphoenolpyruvate synthase	NA	346.2268018520338	0.7677840750889501	0.19895851688281027	3.8590158748579086	1.138445433271198e-4	0.0033235261842272075
TU3190	Chr	slr0306	unknown protein 	NA	215.31303925548568	-0.5131882544733675	0.132829401726114	-3.863514009733552	1.1176748004165999e-4	0.0033235261842272075
TU424	Chr	sll0639	hypothetical protein	ncr0200; ssr1155; slr0689	719.926530010123	0.44662688936959516	0.11572999181565846	3.8592147321759835	1.1375195472384684e-4	0.0033235261842272075
TU7093	pSYSA	NA	NA	slr7100; slr7101	263.8674289095723	0.5501419287913716	0.1423297286684655	3.86526366584201	1.1096925569272359e-4	0.0033235261842272075
TU2812	Chr	sll0608; sll0609	hypothetical protein YCF49 ; hypothetical protein	slr0640	693.5450782292888	-0.47123691687543134	0.12227678425320407	-3.853854349813614	1.1627278043553561e-4	0.0033672597214131116
TU725	Chr	slr1704	hypothetical protein	NA	4796.401183602795	0.6931521562678641	0.18184921098860124	3.811686355412961	1.3802194043676717e-4	0.003965392256992835
TU5116	pSYSM	NA	NA	NA	212.9789446798896	0.781286778087771	0.2055789677343962	3.8004217391400537	1.4445003418322812e-4	0.004117394675143982
TU2584	Chr	slr0011; slr0012	possible Rubisco chaperonin ; ribulose bisphosphate carboxylase small subunit	NA	5237.508359232914	0.8487440336170472	0.22562856604710424	3.761686955187473	1.6877119963817422e-4	0.004773060489767115
TU6036	pSYSX	slr6037; slr6038	slr6037; slr6038	NA	125.8500674427113	0.6383023302295252	0.17013616998819572	3.7517144665582367	1.7562942223140908e-4	0.00492851556959458
TU7060	pSYSA	NA	NA	sll7067; sll7066; sll7065; sll7064; sll7063; sll7062	195.00992973731908	0.9117037298306347	0.24377080603274198	3.740003754625891	1.840175062001545e-4	0.005124179788035072
TU644	Chr	NA	NA	ncr0280; slr1028	627.9460135918283	-0.5417988505906258	0.14543226748567414	-3.725437689706625	1.9497661281938822e-4	0.005387903346612102
TU3116	Chr	NA	NA	sll0590	89.96881695469159	-0.6739610472269096	0.1812642380448206	-3.7181137023854727	2.0071593077213313e-4	0.005504482343902439
TU1837	Chr	sll1890	cobalt-chelatase subunit CobN-like protein 	NA	179.30890541249775	-0.6673116846820027	0.18042746154423728	-3.6985039803289093	2.1687394981234663e-4	0.005858833569557424
TU7046	pSYSA	sll7050	hypothetical protein 	NA	895.2971643155124	0.527042646376405	0.14248174485048626	3.699018754504018	2.1643460939559689e-4	0.005858833569557424
TU5100	pSYSM	NA	NA	sll5086	281.90310189098403	0.541395241953914	0.146819100785423	3.687498690958245	2.2646925831013977e-4	0.006072731222834859
TU7033	pSYSA	ssl7039; ssl7038	hypothetical protein; hypothetical protein	slr7037	516.4557521132496	0.47196082129281175	0.1280609591619959	3.6854387502734993	2.2830898592796694e-4	0.006077048007788532
TU2376	Chr	NA	NA	slr0331	154.24585070069824	-0.5713740102385317	0.1561969139987727	-3.6580364849143003	2.541548738390012e-4	0.00671562513355609
TU6089	pSYSX	NA	NA	slr6095; slr6096	44.961270587544576	0.9461952061829693	0.25906868011856604	3.652294849959984	2.5990721471637427e-4	0.006817855922270108
TU3211	Chr	slr0787	bifunctional nicotinamide mononucleotide adenylyltransferase.ADP-ribose pyrophosphatase	NA	565.1530997678216	-0.526043123731215	0.14446554561739294	-3.6413050702373284	2.7125947159982043e-4	0.007064455303534892
TU2743	Chr	slr0469	30S ribosomal protein S4	sll0462	5426.754178255723	-0.46382024702943137	0.12752107313837285	-3.637204703618993	2.7561288761025754e-4	0.007126561808208088
TU7020	pSYSA	NA	NA	sll7029	182.57107451113197	0.6926416403793432	0.19081610437634494	3.6298908975379356	2.835410408054395e-4	0.007279564310040362
TU458	Chr	NA	NA	sll1507	1137.9852072329575	-0.5098916485188354	0.14062305282431223	-3.6259463742112743	2.8790510210201047e-4	0.00728822706020474
TU578	Chr	NA	NA	slr2046	206.9751290725891	-0.5965133787973003	0.1645113279911147	-3.6259714518231725	2.8787715955809056e-4	0.00728822706020474
TU2014	Chr	ncr0900; slr1173; ssr1951	ncRNA; hypothetical protein ; hypothetical protein	NA	1172.573312986512	0.44747746622610113	0.12413278568818573	3.6048290042417825	3.123585213800914e-4	0.007809738613787549
TU2955	Chr	sll0549	hypothetical protein	NA	706.074964375331	-0.4560096558062884	0.12651315013752662	-3.604444718280916	3.128210218229819e-4	0.007809738613787549
TU2134	Chr	sll1528; sll1530; sll1531	unknown protein ; unknown protein ; unknown protein	slr1638; slr1639	1635.439227650355	-0.32269427143887025	0.08957278230696862	-3.602592920838244	3.1505872160536086e-4	0.007811729946653467
