GeneID	Name	Product	Cyanobase_category	Biological_Process_GO_Term	Molecular_Function_GO_Term
ncr0590	ncr0590	ncr0590			
ncr0610	ncr0610	ncr0610			
ncr0620	ncr0620	ncr0620			
ncr0630	ncr0630	ncr0630			
ncr0640	ncr0640	ncr0640			
ncr0650	ncr0650	ncr0650			
ncr0670	ncr0670	ncr0670			
ncr0680	ncr0680	ncr0680			
ncr0690	ncr0690	PsrR1; SyR1; ncr0690			
ncr0700	ncr0700	ncr0700; DsiR1			
ncr0710	ncr0710	ncr0710			
ncr0720	ncr0720	ncr0720			
ncr0730	ncr0730	ncr0730			
ncr0740	ncr0740	ncr0740			
ncr0760	ncr0760	ncr0760			
ncr0770	ncr0770	ncr0770			
ncr0780	ncr0780	ncr0780			
ncr0790	ncr0790	ncr0790			
ncr0800	ncr0800	ncr0800			
ncr0810	ncr0810	ncr0810			
ncr0820	ncr0820	ncr0820			
ncr0830	ncr0830	ncr0830			
ncr0840	ncr0840	ncr0840			
ncr0850	ncr0850	ncr0850			
ncr0860	ncr0860	ncr0860			
ncr0870	ncr0870	ssaA; 6S RNA			
ncr0880	ncr0880	ncr0880			
ncr0890	ncr0890	ncr0890			
ncr0900	ncr0900	ncr0900			
ncr0910	ncr0910	SyR49			
ncr0920	ncr0920	ncr0920			
ncr0930	ncr0930	ncr0930			
ncr0940	ncr0940	ncr0940			
ncr0950	ncr0950	ncr0950			
ncr0960	ncr0960	ncr0960			
ncr0970	ncr0970	ncr0970			
ncr0980	ncr0980	ncr0980			
ncr1010	ncr1010	ncr1010			
ncr1020	ncr1020	ncr1020			
ncr1030	ncr1030	ncr1030			
ncr1050	ncr1050	ncr1050			
ncr1060	ncr1060	ncr1060			
ncr1070	ncr1070	ncr1070			
ncr1071	ncr1071	ncr1071			
ncr1080	ncr1080	SyR47			
ncr1090	ncr1090	ncr1090			
ncr1100	ncr1100	ncr1100			
ncr1120	ncr1120	ncr1120			
ncr1130	ncr1130	ncr1130			
ncr1140	ncr1140	ncr1140			
ncr1150	ncr1150	ncr1150			
ncr1160	ncr1160	ncr1160			
ncr1170	ncr1170	ncr1170			
ncr1180	ncr1180	ncr1180			
ncr1200	ncr1200	ncr1200			
ncr1220	ncr1220	ncr1220			
ncr1230	ncr1230	ncr1230			
ncr1240	ncr1240	ncr1240			
ncr1250	ncr1250	ncr1250			
ncr1270	ncr1270	ncr1270			
ncr1280	ncr1280	ncr1280			
ncr1290	ncr1290	ncr1290			
ncr1300	ncr1300	ncr1300			
ncr1310	ncr1310	ncr1310			
ncr1320	ncr1320	ncr1320			
ncr1330	ncr1330	ncr1330			
ncr1340	ncr1340	ncr1340			
ncr1350	ncr1350	ncr1350			
ncr1360	ncr1360	ncr1360			
ncr1380	ncr1380	ncr1380			
ncr1390	ncr1390	ncr1390			
ncr1395	ncr1395	ncr1395			
ncr1397	ncr1397	ncr1397			
ncr1400	ncr1400	ncr1400			
ncr1410	ncr1410	ncr1410			
ncr1420	ncr1420	ncr1420			
ncr1430	ncr1430	ncr1430			
ncr1440	ncr1440	ncr1440			
ncr1450	ncr1450	ncr1450			
ncr1460	ncr1460	ncr1460			
ncr1470	ncr1470	ncr1470			
ncr1480	ncr1480	ncr1480			
ncr1490	ncr1490	ncr1490			
ncr1500	ncr1500	ncr1500			
ncr1510	ncr1510	ncr1510			
ncr1520	ncr1520	ncr1520			
ncr1525	ncr1525	Yfr1			
ncr1530	ncr1530	ncr1530			
ncr1550	ncr1550	ncr1550			
ncr1560	ncr1560	ncr1560			
ncr1570	ncr1570	ncr1570			
ncr1580	ncr1580	ncr1580			
ncr1590	ncr1590	ncr1590			
ncr1600	ncr1600	ncr1600			
ncr1610	ncr1610	ncr1610			
ncr1620	ncr1620	ncr1620			
ncr1630	ncr1630	ncr1630			
ncr1640	ncr1640	ncr1640			
ncr1650	ncr1650	ncr1650			
ncr1660	ncr1660	ncr1660			
ncr1670	ncr1670	ncr1670			
ncr1680	ncr1680	ncr1680			
ncr1690	ncr1690	ncr1690			
ncr1700	ncr1700	ncr1700			
ncr1710	ncr1710	ncr1710			
ncr1720	ncr1720	ncr1720			
sll8031	sll8031	hypothetical protein			
Norf1	Norf1	hypothetical protein	N/A	N/A	N/A
Norf2	Norf2	hypothetical protein	N/A	N/A	N/A
Norf3	Norf3	hypothetical protein	N/A	N/A	N/A
Norf4	Norf4	hypothetical protein	N/A	N/A	N/A
Norf5	Norf5	hypothetical protein	N/A	N/A	N/A
Norf6	Norf6	hypothetical protein	N/A	N/A	N/A
Norf7	Norf7	hypothetical protein	N/A	N/A	N/A
Norf8	Norf8	hypothetical protein	N/A	N/A	N/A
NsiR5	NsiR5	NsiR5; TU1564			
NsiR6	NsiR6	NsiR6; TU728			
PsiR1	PsiR1	PsiR1; part of TU3627			
PsiR2	PsiR2	PsiR2; TU79			
sgl0001	sgl0001	hypothetical protein	hypothetical protein P Hypothetical	N/A	N/A
sgl0002	sgl0002	hypothetical protein	hypothetical protein P Hypothetical	N/A	N/A
sll0002	ponA	penicillin-binding protein	penicillin-binding protein O Other categories O3 Drug and analog sensitivity	peptidoglycan biosynthetic process (GO:0009252); peptidoglycan-based cell wall biogenesis (GO:0009273); response to antibiotic (GO:0046677); peptidoglycan-based cell wall (GO:0009274)	catalytic activity (GO:0003824); penicillin binding (GO:0008658); peptidase activity (GO:0008233); transferase activity; transferring pentosyl groups (GO:0016763)
sll0002-as	sll0002-as	asRNA	N/A	N/A	N/A
sll0005	sll0005	hypothetical protein	hypothetical protein P Hypothetical	protein amino acid phosphorylation (GO:0006468)	ATP binding (GO:0005524); protein kinase activity (GO:0004672)
sll0006	aspC	putative aminotransferase	putative aminotransferase A Amino acid biosynthesis A2 Aspartate family	biosynthetic process (GO:0009058)	catalytic activity (GO:0003824); pyridoxal phosphate binding (GO:0030170); transferase activity; transferring nitrogenous groups (GO:0016769)
sll0006-as	sll0006-as	asRNA	N/A	N/A	N/A
sll0007	sll0007	hypothetical protein	hypothetical protein P Hypothetical	N/A	N/A
sll0007-as	sll0007-as	asRNA	N/A	N/A	N/A
sll0008	sll0008	unknown protein	unknown protein Z Unknown	N/A	N/A
sll0010	sll0010	unknown protein	unknown protein Z Unknown	N/A	nucleic acid binding (GO:0003676)
sll0010-as	sll0010-as	asRNA	N/A	N/A	N/A
sll0010-as2	sll0010-as2	asRNA	N/A	N/A	N/A
sll0012	sll0012	transposase	putative transposase [ISY523f: 2482725 - 2483595] O Other categories O8 Transposon-related functions	transposition; DNA-mediated (GO:0006313)	DNA binding (GO:0003677); transposase activity (GO:0004803)
sll0016	mltA	probable membrane-bound lytic transglycosylase A	probable membrane-bound lytic transglycosylase A C Cell envelope C2 Murein sacculus and peptidoglycan	peptidoglycan turnover (GO:0009254); outer membrane (GO:0019867)	hydrolase activity; hydrolyzing O-glycosyl compounds (GO:0004553)
sll0017	hemL	glutamate-1-semialdehyde aminomutase	glutamate-1-semialdehyde aminomutase B Biosynthesis of cofactors; prosthetic groups; and carriers B3 Cobalamin; heme; phycobilin and porphyrin	tetrapyrrole biosynthetic process (GO:0033014)	catalytic activity (GO:0003824); glutamate-1-semialdehyde 2;1-aminomutase activity (GO:0042286); pyridoxal phosphate binding (GO:0030170); transaminase activity (GO:0008483)
sll0018	fbaA;  fda	fructose-bisphosphate aldolase;  class II	fructose-bisphosphate aldolase; class II F Energy metabolism F9 Glycolysis	glycolysis (GO:0006096); metabolic process (GO:0008152)	catalytic activity (GO:0003824); fructose-bisphosphate aldolase activity (GO:0004332); zinc ion binding (GO:0008270)
sll0019	sll0019	1-deoxy-d-xylulose 5-phosphate reductoisomerase	1-deoxy-d-xylulose 5-phosphate reductoisomerase O Other categories O7 Other	isoprenoid biosynthetic process (GO:0008299); metabolic process (GO:0008152); oxidation reduction (GO:0055114)	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity (GO:0030604); binding (GO:0005488); catalytic activity (GO:0003824); metal ion binding (GO:0046872)
sll0020	clpC	ATP-dependent Clp protease ATPase subunit	ATP-dependent Clp protease ATPase subunit M Translation M2 Degradation of proteins; peptides; and glycopeptides	nucleotide-excision repair (GO:0006289); protein metabolic process (GO:0019538)	ATP binding (GO:0005524); DNA binding (GO:0003677); nuclease activity (GO:0004518); nucleoside-triphosphatase activity (GO:0017111); nucleotide binding (GO:0000166); protein binding (GO:0005515)
sll0020-as	sll0020-as	asRNA	N/A	N/A	N/A
sll0021	sll0021	probable exonuclease	probable exonuclease K2 DNA replication; restriction; modification; recombination; and repair	DNA metabolic process (GO:0006259)	exonuclease activity (GO:0004527); hydrolase activity (GO:0016787)
sll0022	sll0022	unknown protein	unknown protein Z Unknown	N/A	N/A
sll0023	sll0023	hypothetical protein	hypothetical protein P Hypothetical	N/A	N/A
sll0023-as	sll0023-as	asRNA	N/A	N/A	N/A
sll0024	sll0024	unknown protein	unknown protein Z Unknown	N/A	N/A
sll0024-as	sll0024-as	asRNA	N/A	N/A	N/A
sll0026	ndhF4	NADH dehydrogenase subunit 5 (involved in const itutive;  low affinity CO2 uptake)	NADH dehydrogenase subunit 5 (involved in constitutive; low affinity CO2 uptake) H Photosynthesis and respiration H5 NADH dehydrogenase	ATP synthesis coupled electron transport (GO:0042773); oxidation reduction (GO:0055114)	NADH dehydrogenase (ubiquinone) activity (GO:0008137)
sll0026-as	sll0026-as	asRNA	N/A	N/A	N/A
sll0027	ndhD4	NADH dehydrogenase subunit 4 (involved in const itutive;  low affinity CO2 uptake)	NADH dehydrogenase subunit 4 (involved in constitutive; low affinity CO2 uptake) H Photosynthesis and respiration H5 NADH dehydrogenase	ATP synthesis coupled electron transport (GO:0042773); oxidation reduction (GO:0055114)	NADH dehydrogenase (ubiquinone) activity (GO:0008137)
sll0027-as	sll0027-as	asRNA	N/A	N/A	N/A
sll0030	cmpR	cmp operon transcriptional regulator;  LysR fami ly protein	cmp operon transcriptional regulator; LysR family protein J Regulatory functions	regulation of transcription; DNA-dependent (GO:0006355)	transcription factor activity (GO:0003700)
sll0031	sll0031	hypothetical protein	hypothetical protein P Hypothetical	N/A	electron carrier activity (GO:0009055); iron-sulfur cluster binding (GO:0051536)
sll0033	crtH	carotene isomerase	carotene isomerase P Hypothetical	carotenoid biosynthetic process (GO:0016117)	isomerase activity (GO:0016853)
sll0034	sll0034	putative carboxypeptidase	putative carboxypeptidase O Other categories O7 Other	proteolysis (GO:0006508)	peptidase activity (GO:0008233)
sll0036	sll0036	hypothetical protein	hypothetical protein P Hypothetical	activation of protein kinase C activity by G-protein coupled receptor protein signaling pathway (GO:0007205); methylglyoxal biosynthetic process (GO:0019242)	diacylglycerol kinase activity (GO:0004143); methylglyoxal synthase activity (GO:0008929)
sll0037	sll0037	hypothetical protein	hypothetical protein P Hypothetical	cobalamin biosynthetic process (GO:0009236)	lyase activity (GO:0016829); metal ion binding (GO:0046872)
sll0038	pixG;  pisG;  taxP1;  rer1	positive phototaxis protein;  two-component resp onse regulator PatA subfamily	positive phototaxis protein; two-component response regulator PatA subfamily J Regulatory functions	regulation of transcription; DNA-dependent (GO:0006355); two-component signal transduction system (phosphorelay) (GO:0000160)	two-component response regulator activity (GO:0000156)
sll0039	pixH;  pisH	positive phototaxis protein;  two-component resp onse regulator CheY subfamily	positive phototaxis protein; two-component response regulator CheY subfamily J Regulatory functions	regulation of transcription; DNA-dependent (GO:0006355); two-component signal transduction system (phosphorelay) (GO:0000160)	two-component response regulator activity (GO:0000156)
sll0040	pixI;  pisI	positive phototaxis protein;  homologous to chem otaxis protein CheW	positive phototaxis protein; homologous to chemotaxis protein CheW D Cellular processes D7 Chemotaxis	chemotaxis (GO:0006935); signal transduction (GO:0007165); intracellular (GO:0005622)	signal transducer activity (GO:0004871)
sll0041	pixJ1;  pisJ1;  taxD1	phytochrome-like photoreceptor protein for posi tive phototaxis	phytochrome-like photoreceptor protein for positive phototaxis; homologous to methyl-accepting chemotaxis protein D Cellular processes D7 Chemotaxis	chemotaxis (GO:0006935); protein-chromophore linkage (GO:0018298); regulation of transcription (GO:0045449); sensory perception (GO:0007600); signal transduction (GO:0007165); integral to membrane (GO:0016021); membrane (GO:0016020)	G-protein coupled photoreceptor activity (GO:0008020); signal transducer activity (GO:0004871)
sll0042	pixJ2;  pisJ2	methyl-accepting chemotaxis protein for positiv e phototaxis	methyl-accepting chemotaxis protein for positive phototaxis D Cellular processes D7 Chemotaxis	chemotaxis (GO:0006935); signal transduction (GO:0007165); membrane (GO:0016020)	signal transducer activity (GO:0004871)
sll0043	pixL;  taxAY1;  hik18	positive phototaxis protein;  homologous to chem otaxis protein CheA;  two-component hybrid histidine kinas e	positive phototaxis protein; homologous to chemotaxis protein CheA; two-component hybrid histidine kinase J Regulatory functions	chemotaxis (GO:0006935); peptidyl-histidine phosphorylation (GO:0018106); phosphorylation (GO:0016310); regulation of transcription; DNA-dependent (GO:0006355); signal transduction (GO:0007165); two-component signal transduction system (phosphorelay) (GO:0000160); cytoplasm (GO:0005737); intracellular (GO:0005622)	ATP binding (GO:0005524); protein histidine kinase activity (GO:0004673); signal transducer activity (GO:0004871); transferase activity; transferring phosphorus-containing groups (GO:0016772); two-component response regulator activity (GO:0000156); two-component sensor activity (GO:0000155)
sll0043-as	sll0043-as	asRNA	N/A	N/A	N/A
sll0044	sll0044	unknown protein	unknown protein Z Unknown	chemotaxis (GO:0006935); signal transduction (GO:0007165); intracellular (GO:0005622)	signal transducer activity (GO:0004871)
sll0045	spsA	sucrose phosphate synthase	sucrose phosphate synthase F Energy metabolism F12 Sugars	biosynthetic process (GO:0009058)	N/A
sll0047	ycf12	hypothetical protein YCF12	hypothetical protein YCF12 P Hypothetical	integral to membrane (GO:0016021)	N/A
sll0048	sll0048	unknown protein	unknown protein Z Unknown	N/A	N/A
sll0051	sll0051	hypothetical protein	hypothetical protein P Hypothetical	N/A	catalytic activity (GO:0003824); hydrolase activity (GO:0016787); zinc ion binding (GO:0008270)
sll0053	accC	biotin carboxylase	biotin carboxylase G Fatty acid; phospholipid and sterol metabolism	metabolic process (GO:0008152)	ATP binding (GO:0005524); biotin binding (GO:0009374); catalytic activity (GO:0003824); ligase activity (GO:0016874)
sll0055	sll0055	processing protease	processing protease M Translation M2 Degradation of proteins; peptides; and glycopeptides	proteolysis (GO:0006508)	catalytic activity (GO:0003824); metal ion binding (GO:0046872); metalloendopeptidase activity (GO:0004222); zinc ion binding (GO:0008270)
sll0057	grpE	heat shock protein GrpE	heat shock protein GrpE D Cellular processes D3 Chaperones	protein folding (GO:0006457); protein import into mitochondrial matrix (GO:0030150); mitochondrion (GO:0005739)	adenyl-nucleotide exchange factor activity (GO:0000774); chaperone binding (GO:0051087); protein binding (GO:0005515); protein homodimerization activity (GO:0042803)
sll0058	dnaK1	DnaK protein 1;  heat shock protein 70;  molecula r chaperone	DnaK protein 1; heat shock protein 70; molecular chaperone D Cellular processes D3 Chaperones	protein folding (GO:0006457)	ATP binding (GO:0005524); unfolded protein binding (GO:0051082)
sll0060	sll0060	hypothetical protein	hypothetical protein P Hypothetical	N/A	N/A
sll0062	sll0062	hypothetical protein	hypothetical protein P Hypothetical	N/A	N/A
sll0063	sll0063	hypothetical protein	hypothetical protein P Hypothetical	cytochrome complex assembly (GO:0017004); heme transport (GO:0015886); membrane (GO:0016020)	heme transporter activity (GO:0015232)
sll0063a	sll0063a	hypothetical protein	N/A	N/A	N/A
sll0064	sll0064	periplasmic protein;  putative polar amino acid transport system substrate-binding protein	periplasmic protein; putative polar amino acid transport system substrate-binding protein N Transport and binding proteins	transport (GO:0006810); outer membrane-bounded periplasmic space (GO:0030288)	transporter activity (GO:0005215)
sll0065	ilvN	acetolactate synthase small subunit	acetolactate synthase small subunit A Amino acid biosynthesis A3 Branched chain family	branched chain family amino acid biosynthetic process (GO:0009082); metabolic process (GO:0008152)	acetolactate synthase activity (GO:0003984); amino acid binding (GO:0016597)
sll0066	sll0066	unknown protein	unknown protein Z Unknown	N/A	N/A
sll0067	gst	glutathione S-transferase	glutathione S-transferase B Biosynthesis of cofactors; prosthetic groups; and carriers B10 Thioredoxin; glutaredoxin; and glutathione	N/A	N/A
sll0067-as	sll0067-as	asRNA	N/A	N/A	N/A
sll0068	sll0068	unknown protein	unknown protein Z Unknown	N/A	binding (GO:0005488)
sll0069	sll0069	hypothetical protein	hypothetical protein P Hypothetical	N/A	N/A
sll0070	purU	phosphoribosylglycinamide formyltransferase	phosphoribosylglycinamide formyltransferase I Purines; pyrimidines; nucleosides; and nucleotides I3 Purine ribonucleotide biosynthesis	de novo IMP biosynthetic process (GO:0006189); biosynthetic process (GO:0009058); metabolic process (GO:0008152)	amino acid binding (GO:0016597); formyltetrahydrofolate deformylase activity (GO:0008864); hydroxymethyl-; formyl- and related transferase activity (GO:0016742)
sll0071	sll0071	hypothetical protein	hypothetical protein P Hypothetical	biosynthetic process (GO:0009058)	N/A
sll0072	sll0072	hypothetical protein	hypothetical protein P Hypothetical	N/A	sequence-specific DNA binding (GO:0043565)
sll0078	thrS	threonyl-tRNA synthetase	threonyl-tRNA synthetase M Translation M1 Aminoacyl tRNA synthetases and tRNA modification	tRNA aminoacylation (GO:0043039); tRNA aminoacylation for protein translation (GO:0006418); threonyl-tRNA aminoacylation (GO:0006435); translation (GO:0006412); cytoplasm (GO:0005737)	ATP binding (GO:0005524); aminoacyl-tRNA ligase activity (GO:0004812); ligase activity; forming aminoacyl-tRNA and related compounds (GO:0016876); nucleotide binding (GO:0000166); threonine-tRNA ligase activity (GO:0004829)
sll0080	argC	N-acetyl-gamma-glutamyl-phosphate reductase	N-acetyl-gamma-glutamyl-phosphate reductase A Amino acid biosynthesis A4 Glutamate family / Nitrogen assimilation	arginine biosynthetic process (GO:0006526); cellular amino acid biosynthetic process (GO:0008652); cellular amino acid metabolic process (GO:0006520); metabolic process (GO:0008152); cytoplasm (GO:0005737)	N-acetyl-gamma-glutamyl-phosphate reductase activity (GO:0003942); NAD or NADH binding (GO:0051287); binding (GO:0005488); catalytic activity (GO:0003824); oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor (GO:0016620); protein dimerization activity (GO:0046983)
sll0080-as	sll0080-as	asRNA	N/A	N/A	N/A
sll0082	sll0082	hypothetical protein	hypothetical protein P Hypothetical	N/A	N/A
sll0082-as	sll0082-as	asRNA	N/A	N/A	N/A
sll0083	gmhA	phosphoheptose isomerase	phosphoheptose isomerase C Cell envelope C3 Surface polysaccharides; lipopolysaccharides and antigens	lipopolysaccharide core region biosynthetic process (GO:0009244); cytoplasm (GO:0005737)	D-sedoheptulose 7-phosphate isomerase activity (GO:0008968)
sll0083-as	sll0083-as	asRNA	N/A	N/A	N/A
sll0084	hisB	putative phosphatase	putative phosphatase A Amino acid biosynthesis A1 Aromatic amino acid family	histidine biosynthetic process (GO:0000105); metabolic process (GO:0008152)	catalytic activity (GO:0003824); histidinol-phosphatase activity (GO:0004401)
sll0085	sll0085	unknown protein	unknown protein Z Unknown	N/A	N/A
