location	TU ID	TU start	TU end	Strand	TU type	alternative starts	Internal starts	5'UTR	3'UTR	genes	15C	42C	-CO2	Darkness	-Fe	Hl	-N	-P	Exp. p.	Stat. p.	Max cond.	Max reads	Average	Max/Avg	UEF	Sense tags	Annotation	Antisense TUs	Antisense tags
Chr	TU30	26934	27035	+	a	NA	NA	NA	NA	0	0	167	192	561	429	72	452	58	104	225	Dark	561	226	2.48	1.24	NA	NA	NA	sll1409
Chr	TU31	27872	27767	-	g	NA	NA	15	NA	1	0	0	0	0	1554	6	38	0	19	0	-Fe	1554	161.7	9.61	40.89	sll1409	ferrichrome-iron receptor	NA	NA
Chr	TU33	28163	28326	+	a	NA	NA	NA	NA	0	671	334	307	75	1570	730	113	311	312	135	-Fe	1570	455.8	3.44	2.15	NA	NA	TU32	"sll1404, sll1405, sll1406, sll1407, sll1408"
Chr	TU34	31013	31063	+	a	NA	NA	NA	NA	0	192	67	192	0	616	157	376	175	118	0	-Fe	616	189.3	3.25	1.64	NA	NA	TU32	"sll1404, sll1405, sll1406, sll1407, sll1408"
Chr	TU35	31189	31863	+	a	NA	NA	NA	NA	0	48	434	211	187	434	344	339	213	541	45	exp. P.	541	279.6	1.93	1.25	NA	NA	TU32	"sll1404, sll1405, sll1406, sll1407, sll1408"
Chr	TU32	33586	27873	-	ga	NA	"28866, 31506"	42	117	5	48	1234	422	262	106482	283	489	58	94	0	-Fe	106482	10937.2	9.74	86.29	"sll1404, sll1405, sll1406, sll1407, sll1408"	"biopolymer transport ExbB protein homolog , biopolymer transport ExbD protein homolog , ferrichrome-iron receptor , probable methyltransferase , transcriptional regulator"	"TU33, TU34, TU35"	NA
Chr	TU37	33809	38191	+	g	NA	36919	82	NA	3	0	100	96	0	7871	24	414	19	22	45	-Fe	7871	859.1	9.16	19.01	"slr1484, slr1485, slr1488"	"unknown protein , putative phosphatidylinositol phosphate kinase, sa lt-induced periplasmic protein , multidrug resistance family ABC transporter"	NA	NA
Chr	TU36	33820	33709	-	n	NA	NA	NA	NA	0	0	100	19	0	1093	12	113	19	12	0	-Fe	1093	136.8	7.99	9.67	NA	NA	NA	NA
Chr	TU38	38569	38481	-	a	NA	NA	NA	NA	0	0	0	19	0	530	24	0	0	34	0	-Fe	530	60.7	8.73	15.59	NA	NA	NA	slr1488
Chr	TU39	38584	40104	+	ga	NA	NA	60	NA	2	48	67	115	0	10769	277	226	97	365	45	-Fe	10769	1200.9	8.97	29.5	"slr1489, slr1490"	"transcriptional regulator , ferrichrome-iron receptor"	"TU40, TU41"	NA
Chr	TU40	39713	39661	-	an	NA	NA	NA	NA	0	0	0	0	0	546	12	38	0	5	0	-Fe	546	60.1	9.08	14.37	NA	NA	TU39	"slr1489, slr1490"
Chr	TU41	40128	40027	-	a	NA	NA	NA	NA	0	623	634	537	93	680	875	1205	718	718	360	-N	1205	644.3	1.87	1.38	NA	NA	TU39	"slr1489, slr1490"
Chr	TU42	40255	40356	+	i	NA	NA	NA	NA	0	3739	500	940	56	1120	2997	1054	1572	1665	585	15C	3739	1422.8	2.63	1.25	slr1490	ferrichrome-iron receptor 	NA	NA
Chr	TU43	42797	42686	-	a	NA	NA	NA	NA	0	431	334	499	0	723	1122	376	466	793	360	HL	1122	510.4	2.2	1.41	NA	NA	NA	slr1491
Chr	TU44	43382	43281	-	a	NA	NA	NA	NA	0	623	100	192	0	450	573	301	388	234	90	15C	623	295.1	2.11	1.09	NA	NA	NA	slr1491
Chr	TU45	46074	45539	-	a	NA	NA	NA	NA	0	6951	334	1381	19	2529	1628	715	1184	790	180	15C	6951	1571.1	4.42	2.75	NA	NA	NA	slr1494
Chr	TU47	47450	47549	+	a	NA	NA	NA	NA	0	671	700	614	19	573	489	1581	1048	99	540	-N	1581	633.4	2.5	1.51	NA	NA	TU46	"sll1398, sll1399, ssl2733, sll1400, sll1401"
Chr	TU48	49539	50121	+	a	NA	NA	NA	NA	0	5752	2468	5522	56	6408	7991	2899	6249	11968	3377	exp. P.	11968	5269	2.27	1.5	NA	NA	TU46	"sll1398, sll1399, ssl2733, sll1400, sll1401"
Chr	TU49	50122	53126	+	ga	NA	NA	124	762	2	1150	133	690	0	729	983	2484	233	314	90	-N	2484	680.6	3.65	2.16	"slr1495, slr1496"	"hypothetical protein , putative transposase"	"TU46, TU50"	"sll1394, sll1395, sll1396, sll1397, sll1398, sll1399, ssl2733, sll1400, sll1401"
Chr	TU46	50262	46915	-	ga	NA	NA	31	92	5	1630	200	690	0	2073	1182	1543	854	5495	225	exp. P.	5495	1389.2	3.96	2.65	"sll1398, sll1399, ssl2733, sll1400, sll1401"	"photosystem II reaction center 13 kDa protein , hypothetical protein , hypothetical protein , hypothetical protein , unknown protein"	"TU47, TU48, TU49"	"slr1495, slr1496"
Chr	TU51	54514	55112	+	ga	NA	NA	19	NA	1	240	267	115	0	1179	501	866	194	889	0	-Fe	1179	425.1	2.77	1.33	slr1498	hydrogenase isoenzyme formation protein HypD	TU50	"sll1394, sll1395, sll1396, sll1397"
Chr	TU50	57303	52243	-	ga	NA	52495	79	17	4	1246	67	96	0	948	1098	527	97	94	45	15C	1246	421.8	2.95	1.13	"sll1394, sll1395, sll1396, sll1397"	"peptide methionine sulfoxide reductase , dTDP-6-deoxy-L-mannose-dehydrogenase , unknown protein , putative transposase [ISY100_a]"	"TU49, TU51"	"slr1495, slr1496, slr1498"
Chr	TU52	58868	57304	-	g	NA	NA	53	36	1	5704	1501	2704	150	9457	13329	2597	5900	18040	1486	exp. P.	18040	6086.8	2.96	1.35	sll1393	glycogen synthase	NA	NA
Chr	TU53	58986	58869	-	n	58876	NA	NA	NA	0	480	834	1074	75	1216	880	1130	1242	2132	450	exp. P.	2132	951.3	2.24	1.72	NA	NA	NA	NA
Chr	TU55	59702	60239	+	g	NA	NA	44	NA	1	1965	6004	2167	1009	2615	9602	2974	4328	3008	1081	HL	9602	3475.3	2.76	1.6	slr1501	probable acetyltransferase	NA	NA
Chr	TU54	59703	59604	-	g	NA	NA	53	NA	1	0	267	153	37	198	525	339	213	82	135	HL	525	194.9	2.69	1.55	sll1392	transcriptional regulator	NA	NA
Chr	TU56	60286	60506	+	i	NA	NA	NA	NA	0	479	600	633	19	820	567	979	1009	650	135	-P	1009	589.1	1.71	1.03	slr1501	probable acetyltransferase 	NA	NA
Chr	TU57	60507	66040	+	ga	NA	"60878, 61338, 60962"	17	292	5	1055	534	863	56	1259	754	1393	1184	867	270	-N	1393	823.5	1.69	1.11	"slr1113, slr1114, slr1115, slr1116, slr1117"	"ATP-binding protein of ABC transporter , hypothetical protein , probable methyltransferase , hypothetical protein , hypothetical protein"	"TU58, TU59"	sll1064
Chr	TU58	61012	60913	-	a	NA	NA	NA	NA	0	575	834	403	93	1007	989	602	757	1116	766	exp. P.	1116	714.2	1.56	1.11	NA	NA	TU57	"slr1113, slr1114, slr1115, slr1116, slr1117"
Chr	TU59	65822	65619	-	a	NA	NA	NA	NA	0	1103	100	575	112	595	621	640	835	251	45	15C	1103	487.7	2.26	1.32	NA	NA	TU57	"slr1113, slr1114, slr1115, slr1116, slr1117"
Chr	TU60	66367	66468	+	a	NA	NA	NA	NA	0	1103	233	652	56	439	802	151	1203	440	225	-P	1203	530.4	2.27	1.09	NA	NA	NA	sll1064
Chr	TU61	67579	67629	+	g	NA	NA	27	NA	1	959	100	441	37	707	495	452	524	331	90	15C	959	413.6	2.32	1.36	slr1118	UDP-N-acetyl-D-mannosaminuronic acid transferase	NA	NA
Chr	TU62	67923	67637	-	a	NA	NA	NA	NA	0	431	1034	1265	673	332	422	1016	1281	249	946	-P	1281	764.9	1.67	1.01	NA	NA	NA	slr1118
Chr	TU63	69092	68700	-	g	69066	NA	33	NA	1	2588	0	786	19	771	639	1243	893	587	540	15C	2588	806.6	3.21	2.08	sll1063	hypothetical protein	NA	NA
Chr	TU64	69123	69218	+	n	NA	NA	NA	NA	0	5033	9873	1400	1607	745	748	10201	737	1153	5134	-N	10201	3663.1	2.78	1.03	NA	NA	NA	NA
Chr	TU65	69219	70482	+	ga	NA	NA	65	497	1	10019	334	422	0	1414	1616	301	213	275	225	15C	10019	1481.9	6.76	6.2	slr1119	hypothetical protein	"TU66, TU67"	"sll1061, sll1062"
Chr	TU66	69887	69545	-	a	NA	NA	NA	NA	0	959	267	326	19	895	567	452	408	619	90	15C	959	460.2	2.08	1.07	NA	NA	TU65	slr1119
Chr	TU68	70483	70601	+	a	NA	NA	NA	NA	0	0	67	153	131	11	18	979	213	7	45	-N	979	162.4	6.03	4.6	NA	NA	TU67	"sll1061, sll1062"
Chr	TU253	270519	268644	-	gai	NA	268828	84	145	2	19797	734	6884	37	5829	5874	6287	7802	1904	2026	15C	19797	5717.4	3.46	2.54	"sll1663, sll1664"	"phycocyanin alpha phycocyanobilin lyase related pr otein , probable glycosyl transferase"	TU254	NA
Chr	TU69	74317	72909	-	g	NA	73509	88	NA	2	1582	1534	1093	75	1768	1647	1581	2135	1008	766	-P	2135	1318.9	1.62	1.21	"ssl2069, sll1060"	"hypothetical protein , hypothetical protein"	NA	NA
Chr	TU70	74437	74844	+	g	74456	NA	61	59	1	1055	1401	1151	75	9055	3438	1957	3998	2515	90	-Fe	9055	2473.5	3.66	2.26	ssr1853	unknown protein	NA	NA
Chr	TU71	74845	75628	+	g	NA	NA	150	NA	1	1055	567	940	486	847	543	1543	951	319	585	-N	1543	783.6	1.97	1.46	slr1120	type 4 prepilin peptidase	NA	NA
Chr	TU72	77446	76132	-	g	NA	NA	39	NA	2	2109	133	997	0	2138	1671	565	1339	2503	45	exp. P.	2503	1150	2.18	1.17	"sll1058, sll1059"	"dihydrodipicolinate reductase , adenylate kinase"	NA	NA
Chr	TU73	77854	77447	-	g	NA	NA	28	47	1	7957	4569	6462	579	4067	5820	3237	9471	3458	2792	-P	9471	4841.2	1.96	1.19	sll1057	thioredoxin	NA	NA
Chr	TU74	78465	77884	-	g	NA	NA	20	96	2	240	33	96	0	541	633	113	78	648	90	exp. P.	648	247.2	2.62	1.02	"ssl2064, ssl2065"	"hypothetical protein , unknown protein"	NA	NA
Chr	TU76	80408	80507	+	a	NA	NA	NA	NA	0	1917	200	1246	206	1152	1544	640	990	261	495	15C	1917	865.1	2.22	1.24	NA	NA	TU75	sll1056
Chr	TU75	80803	78466	-	ga	NA	NA	30	1	1	1869	400	690	75	1350	1532	828	1203	391	135	15C	1869	847.3	2.21	1.22	sll1056	phosphoribosylformylglycinamidine synthase II	TU76	NA
Chr	TU77	80869	81809	+	ga	NA	NA	69	119	1	2780	1134	1381	131	2840	2256	3124	2969	991	405	-N	3124	1801.1	1.73	1.05	slr1122	hypothetical protein	TU78	"sll1053, sll1054"
Chr	TU78	83914	81377	-	ga	NA	82851	61	319	2	383	100	230	0	241	90	1732	97	70	45	-N	1732	298.8	5.8	4.52	"sll1053, sll1054"	"hypothetical protein , hypothetical protein"	TU77	slr1122
Chr	TU79	84077	83977	-	n	NA	NA	NA	NA	0	0	67	58	0	134	96	188	4910	89	0	-P	4910	554.2	8.86	26.12	NA	NA	NA	NA
Chr	TU80	84749	86486	+	ga	NA	NA	27	NA	2	2301	167	920	37	1843	2798	414	718	3733	180	exp. P.	3733	1311.1	2.85	1.33	"slr1124, slr1125"	"phosphoglycerate mutase , probable glucosyl transferase"	TU81	NA
Chr	TU81	85144	85053	-	a	NA	NA	NA	NA	0	671	133	326	93	632	1948	301	873	321	495	HL	1948	579.3	3.36	2.23	NA	NA	TU80	"slr1124, slr1125"
Chr	TU82	88691	87655	-	g	NA	NA	30	NA	2	288	100	96	0	563	736	226	136	406	0	HL	736	255.1	2.89	1.31	"sll1051, sll1052"	"phycocyanin alpha-subunit phycocyanobilin lyase , hypothetical protein"	NA	NA
Chr	TU83	90538	88692	-	g	NA	88928	26	126	1	4602	100	709	19	605	808	16300	970	1631	991	-N	16300	2673.5	6.1	3.54	sll1049	hypothetical protein	NA	NA
Chr	TU84	90628	92544	+	ga	"90636, 90639"	90763	109	62	2	6231	6303	3834	10578	9038	7081	8245	6890	3393	5944	Dark	10578	6753.7	1.57	1.17	"slr1127, slr1128"	"unknown protein , hypothetical protein"	"TU85, TU86"	NA
Chr	TU85	91992	91088	-	a	NA	NA	NA	NA	0	671	33	288	0	268	169	941	408	203	0	-N	941	298.1	3.16	1.4	NA	NA	TU84	"slr1127, slr1128"
Chr	TU86	92533	92094	-	a	"92509, 92522"	NA	NA	NA	0	3691	867	2148	169	1469	1821	1920	1863	299	1035	15C	3691	1528.2	2.42	1.72	NA	NA	TU84	"slr1127, slr1128"
Chr	TU87	92545	95703	+	ga	NA	NA	583	NA	2	10210	5470	8053	822	11359	15006	6550	7569	7113	2567	HL	15006	7471.9	2.01	1.32	"ncr0020, slr1129, slr1130"	"ncRNA, ribonuclease E , ribonuclease HII"	"TU88, TU89"	ncl0020
Chr	TU88	93037	92705	-	an	NA	NA	NA	233	0	2732	167	1668	0	1511	808	2108	1223	575	540	15C	2732	1133.2	2.41	1.3	ncl0020	NA	TU87	"ncr0020, slr1129, slr1130"
Chr	TU89	95703	95608	-	a	NA	NA	NA	NA	0	383	33	383	0	321	374	565	349	242	135	-N	565	278.5	2.03	1.48	NA	NA	TU87	"ncr0020, slr1129, slr1130"
Chr	TU91	97609	97708	+	a	NA	NA	NA	NA	0	336	100	249	37	450	350	602	543	551	90	-N	602	330.8	1.82	1.09	NA	NA	TU90	sll1043
Chr	TU92	98011	98608	+	a	NA	NA	NA	NA	0	719	500	479	112	932	941	1016	1029	631	135	-P	1029	649.4	1.58	1.01	NA	NA	TU90	sll1043
Chr	TU90	98521	96256	-	ga	NA	96682	40	69	1	4889	600	824	75	3231	2039	1393	1145	1689	225	15C	4889	1611	3.03	1.51	sll1043	polynucleotide phosphorylase	"TU91, TU92"	NA
Chr	TU94	99245	99332	+	an	NA	NA	NA	NA	0	240	100	153	0	600	416	414	175	283	0	-Fe	600	238.1	2.52	1.44	NA	NA	TU93	sll0716
Chr	TU93	99312	98705	-	ga	NA	NA	113	NA	1	1534	1368	2531	542	2829	2973	2033	3590	822	1441	-P	3590	1966.3	1.83	1.21	sll0716	leader peptidase I	TU94	NA
Chr	TU95	99333	101034	+	ga	NA	NA	69	241	1	5513	1468	2531	841	2641	2304	10841	4561	1334	1126	-N	10841	3316	3.27	1.97	slr0721	malic enzyme	TU96	sll0712
Chr	TU96	101814	100230	-	ga	NA	100881	43	564	1	5177	1001	3490	56	4613	3818	2372	3319	1774	540	15C	5177	2616	1.98	1.12	sll0712	cysteine synthase A	TU95	slr0721
Chr	TU98	104817	104914	+	a	NA	NA	NA	NA	0	2061	33	326	0	300	259	414	272	147	0	15C	2061	381.2	5.41	4.98	NA	NA	TU97	"sll0709, sll0710, sll0711"
Chr	TU97	106652	101815	-	ga	NA	102701	113	69	3	1246	334	863	19	1677	2063	1054	873	1423	315	HL	2063	986.7	2.09	1.23	"sll0709, sll0710, sll0711"	"putative endonuclease , unknown protein , isopentenyl monophosphate kinase"	TU98	NA
Chr	TU99	106808	106653	-	an	NA	NA	NA	34	0	383	167	403	56	445	495	414	640	116	0	-P	640	311.9	2.05	1.29	SyR8	NA	NA	ncr0030
Chr	TU101	108278	108396	+	a	108338	NA	NA	NA	0	2828	634	1131	19	1040	1032	1205	1378	824	225	15C	2828	1031.6	2.74	2.05	NA	NA	TU100	sll0708
Chr	TU100	108373	107182	-	ga	NA	NA	48	289	1	527	167	268	0	755	838	715	543	430	45	HL	838	428.8	1.95	1.11	sll0708	dimethyladenosine transferase	TU101	"smr0012, ncr0040"
Chr	TU102	108397	108613	+	g	NA	NA	82	NA	1	1007	467	1323	0	1281	856	1656	1475	488	225	-N	1656	877.8	1.89	1.12	slr0722	hypothetical protein	NA	NA
Chr	TU103	108840	110365	+	gi	NA	NA	382	52	1	383	334	268	19	396	579	1732	893	983	135	-N	1732	572.2	3.03	1.76	slr0723	hypothetical protein	NA	NA
Chr	TU104	110366	112839	+	g	NA	NA	26	280	3	0	233	268	0	327	115	151	116	783	45	exp. P.	783	203.8	3.84	2.39	"slr0724, slr0725, slr0727"	"HtaR suppressor protein homolog , hypothetical protein , unknown protein"	NA	NA
Chr	TU105	112840	114174	+	ga	NA	NA	272	NA	1	479	334	307	19	573	1170	414	175	863	0	HL	1170	433.4	2.7	1.36	"ncr0050, slr0728"	"ncRNA, hypothetical protein"	TU106	NA
Chr	TU106	113323	113239	-	a	NA	NA	NA	NA	0	2493	2502	2972	206	1377	1978	1995	2736	230	1801	-CO2	2972	1829	1.62	1.09	NA	NA	TU105	"ncr0050, slr0728"
Chr	TU107	114236	116653	+	ga	NA	"115905, 115174"	83	176	3	3643	3335	3777	1383	2888	2123	3463	3901	1508	3152	-P	3901	2917.3	1.34	1.03	"slr0729, slr0730, slr0731"	"hypothetical protein , hypothetical protein , hypothetical protein"	TU108	sll0704
Chr	TU108	117736	116276	-	ga	NA	117626	43	242	1	25118	23815	25041	17437	21431	21043	17316	28510	6937	44852	stat. P.	44852	23150	1.94	1.57	sll0704	NifS protein	TU107	"slr0729, slr0730, slr0731"
Chr	TU109	117840	117941	+	g	NA	NA	29	NA	1	719	67	441	19	916	398	188	349	329	135	-Fe	916	356.1	2.57	1.27	slr0732	hypothetical protein	NA	NA
Chr	TU110	120557	120922	+	g	NA	NA	162	NA	1	5656	334	1189	131	1275	1128	1318	776	1505	315	15C	5656	1362.7	4.15	3.76	"ncr0060, slr0733"	"ncRNA, integrase-recombinase protein"	NA	NA
Chr	TU111	122264	124366	+	ga	NA	NA	23	961	1	1246	300	1227	19	1141	579	2635	932	626	180	-N	2635	888.5	2.97	2.11	slr0734	hypothetical protein	TU112	"sll0698, sll0699, sll0700"
Chr	TU112	126461	123395	-	ga	NA	123736	18	106	3	1678	434	709	19	2127	2364	602	699	4615	225	exp. P.	4615	1347.2	3.43	1.95	"sll0698, sll0699, sll0700"	"drug sensory protein A, low temperature sensor, tw o-component sensor histidine kinase , putative transposase [ISY100_i] , putative transposase [ISY100_i]"	TU111	slr0734
Chr	TU113	126607	128748	+	g	NA	NA	32	36	2	8676	3169	14419	19	8128	4101	5044	32391	16962	6395	-P	32391	9930.4	3.26	1.91	"slr0737, slr0738"	"photosystem I subunit II , anthranilate synthetase alpha-subunit"	NA	NA
Chr	TU114	128749	129748	+	ga	NA	NA	53	38	1	3979	467	1285	19	2309	2322	1205	2271	1044	45	15C	3979	1494.6	2.66	1.71	slr0739	geranylgeranyl pyrophosphate synthase	TU115	NA
Chr	TU116	129749	130397	+	ga	NA	NA	42	211	1	288	33	134	0	697	476	602	136	435	45	-Fe	697	284.6	2.45	1.16	slr0740	hypothetical protein	"TU115, TU117"	NA
Chr	TU115	130126	129194	-	a	NA	NA	NA	NA	0	1726	133	614	19	1623	1544	2484	1261	1314	90	-N	2484	1080.8	2.3	1.44	NA	NA	"TU114, TU116"	"slr0739, slr0740"
Chr	TU117	130620	130127	-	ai	NA	NA	NA	NA	0	863	33	326	0	520	247	602	369	138	90	15C	863	318.8	2.71	1.43	NA	NA	TU116	slr0740
Chr	TU118	130965	131500	+	ga	NA	NA	151	NA	1	2732	434	1534	0	1489	778	2296	776	802	270	15C	2732	1111.1	2.46	1.19	slr0741	pho regulon negative regulator	NA	sll0696
Chr	TU119	131860	138264	+	ga	NA	134029	17	152	5	5848	1301	1323	224	3075	5754	2710	3125	896	630	15C	5848	2488.6	2.35	1.02	"slr0742, slr0743, slr0743a, slr0744, slr0236"	"hypothetical protein , similar to N utilization substance protein , YlxR, translation initiation factor IF-2 , similar to glutathione S-transferase"	"TU120, TU121"	ssl0431
Chr	TU120	134005	133806	-	a	NA	NA	NA	NA	0	48	33	19	0	102	133	75	19	597	0	exp. P.	597	102.6	5.82	4.49	NA	NA	TU119	"slr0742, slr0743, slr0743a, slr0744, slr0236"
Chr	TU121	136871	136701	-	a	NA	NA	NA	NA	0	336	233	863	168	1554	2955	602	1126	1578	315	HL	2955	973	3.04	1.87	NA	NA	TU119	"slr0742, slr0743, slr0743a, slr0744, slr0236"
Chr	TU122	138265	141097	+	ga	NA	NA	30	90	2	671	334	671	430	611	356	1581	873	751	315	-N	1581	659.3	2.4	1.81	"slr0237, slr0238"	"glycogen operon protein GlgX homolog , hypothetical protein"	TU123	"ncl0040, ssl0431"
Chr	TU123	141060	138767	-	a	NA	NA	NA	2263	0	5177	300	1361	93	3054	3420	2108	1883	1803	180	15C	5177	1937.9	2.67	1.51	ncl0040	NA	TU122	"slr0237, slr0238"
Chr	TU124	141098	141721	+	ga	NA	NA	550	NA	1	1630	233	786	75	1029	796	979	466	563	405	15C	1630	696.2	2.34	1.58	slr0239	precorrin methylase	NA	ssl0426
Chr	TU126	142514	143880	+	ga	NA	NA	45	54	2	623	67	518	0	509	181	1769	873	193	225	-N	1769	495.8	3.57	2.03	"slr0240, slr0241"	"transcriptional regulator , hypothetical protein"	TU125	NA
Chr	TU125	142832	141839	-	a	NA	NA	NA	NA	0	863	133	364	131	782	772	151	796	577	225	15C	863	479.4	1.8	1.08	NA	NA	TU126	"slr0239, slr0240, slr0241"
Chr	TU127	143881	145238	+	ga	NA	NA	180	157	2	2684	8772	3950	916	622	856	4781	951	34	6890	42C	8772	3045.6	2.88	1.27	"ncr0070, slr0242, slr0243"	"ncRNA, bacterioferritin comigratory protein homolog , hypothetical protein"	TU128	sll0230
Chr	TU128	145512	144797	-	ga	NA	NA	43	367	1	1438	300	1189	0	1431	1013	1280	737	1986	270	exp. P.	1986	964.4	2.06	1.38	sll0230	hypothetical protein	TU127	"ncr0070, slr0242, slr0243"
Chr	TU130	145673	146805	+	ga	NA	NA	88	190	1	2253	2735	5350	299	6097	4228	2522	14944	11265	4098	-P	14944	5379.1	2.78	1.33	slr0244	hypothetical protein	"TU129, TU131, TU132, TU133, TU134"	sml0003
